Term,Occurrence (ead_ID),Tag,Collection,Context
GLBT,umich-bhl-2014034,subjects,"Social Justice in Michigan Web Archive, 2010-2014","African American men; African American youth; African Americans; African Americans; Amnesty.; Arab Americans; Barrier-free design; Bisexuals; Bisexuals; Catholic gays; Children with disabilities; Civil rights; Criminal justice, Administration of; Developmental disabilities; Disability awareness; Disabled veterans; Environmental justice; Ethnic communities.; Gay rights; Gays; Gays; Gays; GLBT community of Michigan.; Homeless persons; Homosexuality; Housing policy; Human rights.; Hunger.; Islamophobia; Lesbians; Lesbians; Mental health; Mental health services; Mental retardation; Minorities; Muslims; Paralytics; Peace; People with disabilities; People with mental disabilities; Politics and public policy.; Prisoners; Prisoners; Prisoners; Prisons; Prisons; Religious tolerance; Same-sex marriage; Social justice.; Transgender people; Transgender people; Transportation and state"
GLBT,umich-bhl-04105,bioghist,"Beth Bashert Papers, 1988-2010","In 1996, she participated in the planning for a recreational center for the gay, lesbian, bi-sexual, transgender (GLBT) community to be called the Jane Addams Memorial Center."
GLBT,umich-bhl-0092,bioghist,Triangle Foundation Records,Staff monitor and respond to media coverage of relevant issues and offer training to members of the media on accurate coverage of GLBT issues.
GLBT,umich-bhl-0092,bioghist,Triangle Foundation Records, The Foundation takes every opportunity to educate the public on GLBT issues.
GLBT,umich-bhl-0092,bioghist,Triangle Foundation Records," The Triangle Foundation is a also founding member of the National Coalition of Anti-Violence Programs (NCAVP), which publishes a national survey of hate violence against GLBT people."
GLBT,umich-bhl-2009149,bioghist,"Kathleen Russell papers, 1997-2006","In the mid-1990s she was a member of the campus group Tri-Pride, which is an organization of social work students and professionals committed to empowering gay, lesbian, bisexual, and transgendered people (GLBT)."
GLBT,umich-bhl-2009149,scopecontent,"Kathleen Russell papers, 1997-2006","The collection consists of three series: Ypsilanti Non-Discrimination Ordinance, Eastern Michigan University GLBT Activities, and Audio-visual Materials."
GLBT,umich-bhl-2009149,abstract,"Kathleen Russell papers, 1997-2006","Papers of Kathleen Russell, former faculty advisor of Tri-Pride, Assistant Dean of Students, and director of Project YES at Eastern Michigan University; The collection documents her involvement in the campaign to pass a Non-Discrimination Ordinance in Ypsilanti, Michigan, and in establishing outreach and support organizations for GLBT youth."
GLBT,umich-bhl-2014038,subjects,"Religious Communities of Michigan Web Archive, 2010-2014","African American churches; African American churches; African American Episcopalians; African American Muslims; African American public worship; African Americans; African Americans; African Americans; African Americans; Anglican Communion; Arab Americans; Arab Americans; Arab Americans; Baptists; Bisexuals; Catholic gays; Catholics; Chaldean Catholics; Charities; Christianity and other religions; Christians; Community centers; Druze women; Druzes; East Indian Americans; East Indian Americans; Economics; Environmental justice; Episcopalians; Ethnic communities.; Ethnic relations; Faith.; Freemasonry; Gays; Gays; Gays; GLBT community of Michigan.; Housing policy; Hurley, George W."
GLBT,umich-bhl-963,bioghist,"the Parents, Families and Friends of Lesbians and Gays (Detroit, Mich.)","Detroit chapter of Parents, Families and Friends of Lesbians and Gays (also called PFLAG) established in 1986 by Bill and Harriet Dart as an informational support group for parents, friends, and allies of the GLBT community."
GLBT,umich-bhl-9775,bioghist,"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records","Parents, Families and Friends of Lesbians and Gays (PFLAG) is a non-profit organization support and information group working on the behalf of the GLBT community and its family members, friends, and allies."
GLBT,umich-bhl-9775,abstract,"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records","Parents, Families and Friends of Lesbians and Gays (PFLAG) Ann Arbor is a non-profit organization working on the behalf of the GLBT community and its family members and friends."
GLBT,umich-bhl-2014025,subjects,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014",AIDS activists; Bisexual youth; Bisexuals; Bisexuals; Catholic gays; Gay activists; Gay rights; Gay teenagers; Gay youth; Gays; Gays; Gays; Gays; Gays; Gays; Gays; GLBT community of Michigan.; Homosexuality; Lesbian youth; Lesbians; Lesbians; Lesbians; Parents of gays; Parents of gays; Religion.; Runaway teenagers; Same-sex marriage; Social justice.; Social work with gay youth; Social work with lesbian youth; Social work with transgender youth; Transgender people; Transgender people; Transgender youth; Women in Michigan.; Women's music festivals
GLBT,umich-bhl-2011124,bioghist,"John L. Kavanaugh papers, 1970-2011","Since 1968, he has been active in the GLBT movement."
GLBT,umich-bhl-2011124,scopecontent,"John L. Kavanaugh papers, 1970-2011","The collection, spanning 40 years of John Kavanaugh's activism, documents both the history and challenges faced by the Michigan and national GLBT community, as well issues facing the area's racial and ethnic minorities."
GLBT,umich-bhl-2011124,abstract,"John L. Kavanaugh papers, 1970-2011",Detroit social activist involved in GLBT organizations and activities.
LGBT,umich-bhl-2014037,subjects,"Women in Michigan Web Archive, 2010-2014",African American judges; African American women; African American women lawyers; Armed Forces; Chaldean Catholics; Charities; Endowments; Environmental protection; Ethnic communities.; Gardening; Gay military personnel; Iraqis; Lesbians; LGBT community of Michigan.; Natural resources.; Nonprofit organizations; Politics and public policy.; Religion.; Women; Women; Women; Women in combat; Women in Michigan.; Women's music festivals
LGBT,umich-bhl-2014052,bioghist,"Michael and Janice Neubecker Papers, 1996-2010"," In 1998, with support of the PFLAG Downriver Board, the Neubeckers started a Straight Spouses group dedicated to helping straight persons to understand and accept their LGBT spouses."
LGBT,umich-bhl-2014052,bioghist,"Michael and Janice Neubecker Papers, 1996-2010", Neubeckers personally lobbied their elected representative on their concerns for equality for the LGBT community.
LGBT,umich-bhl-2014052,scopecontent,"Michael and Janice Neubecker Papers, 1996-2010",Also included correspondence and background material on various subjects related to the LGBT community rights.
LGBT,umich-bhl-2014025,bioghist,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014",Michigan's LGBT Community is among Bentley Historical Library's most important topical collections priorities.
LGBT,umich-bhl-2014025,scopecontent,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014"," Web Archives include websites of LGBT equal rights organizations, religious groups, support systems, and activists who call the state of Michigan home."
LGBT,umich-bhl-2014025,scopecontent,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","The Web Archive of Lesbian, Gay, Bisexual, and Transgender Community of Michigan collection contains archived websites created by various LGBT groups and individuals of the State of Michigan."
LGBT,umich-bhl-2024013,scopecontent,the Ross Chambers papers.,"Lectures, speeches, and notes are related to his work on AIDS (particularly in relation to gay men), queer and LGBT+ studies, and French."
LGBT,umich-bhl-2014052,bioghist,"Michael and Janice Neubecker Papers, 1996-2010","PFLAG provided a venue for parents and family members of LGBT teenagers and adult children, enabling them to learn more about being a positive parent or family member of an LGBT person, find common ground with other parents and learn how to be there for the gay person in their life."
LGBT,umich-bhl-2013071,bioghist,"Anonymous Association of Suburban People officer’s papers, 1973-2004","By the 1980s the ASP had become the largest LGBT organization in Michigan, and in 1985 it changed its name to South Eastern Michigan Gay and Lesbian Association (SEMGLA) to more accurately describe its mission."
LGBT,umich-bhl-2024013,bioghist,the Ross Chambers papers.,This shift allowed Chambers to teach some of the very first LGBT+ and queer topics classes at the University of Michigan.
LGBT,umich-bhl-2012158,subjects,the Tim Retzloff oral history interviews,Gay activists; Gay activists; Gay youth; Gay youth; Lesbian youth; Lesbian youth; LGBT community; LGBT community of Michigan.
LGBT,umich-bhl-9951,bioghist,the Lansing Association for Human Rights records,published the first article in Michigan about AIDS and also started the Lansing Lesbian/Gay Hotline as a way of supporting the LGBT community.
gay,umich-bhl-0310,bioghist,the Dan Bessie collection,"Brown (U-M Class of 1922), and Richard (Roddy) Brandon were the three openly gay partners forming the Yale Puppeteers and who operated the Turnabout Theater in Hollywood."
gay,umich-bhl-9951,bioghist,the Lansing Association for Human Rights records,"From the beginning, LAHR has been focusing on coordinating local, state, and national gay and lesbian activities and activism."
gay,umich-bhl-0099,abstract,Michigan Campaign for Human Dignity Records,"Minutes, newsletters, and other files documenting the arguments and techniques used by both those promoting and opposing state ballot initiatives limiting protection of the civil rights of lesbians and gay males."
gay,umich-bhl-0099,scopecontent,Michigan Campaign for Human Dignity Records,"Affirmations Lesbian Gay Community Center, founded in 1988, is a community based, direct service agency for the lesbian and gay community in southeastern Michigan."
gay,umich-bhl-0099,bioghist,Michigan Campaign for Human Dignity Records,"The organization's goal was ""to strategically defeat specific ballot measures which would jeopardize present and future equal rights for all Michigan's citizens, specifically the lesbian, gay and bisexual citizens of this state."""
gay,umich-bhl-0099,subjects,Michigan Campaign for Human Dignity Records,Gay rights; Gays; Gays
gay,umich-bhl-87253,bioghist,"Medical School (University of Michigan) Records, 1850-2010","The school appointed its first openly gay administrator, Dr. Elizabeth Petty, as Senior Associate Dean for Academic Affairs, and first African American to lead a department, Dr. John Carethers, as Chief of Department of Internal Medicine."
gay,umich-bhl-9945,bioghist,"Medical School (University of Michigan) Publications, 1849-2014","The school appointed its first openly gay administrator, Dr. Elizabeth Petty, as Senior Associate Dean for Academic Affairs, and first African American to lead a department, Dr. John Carethers, as Chief of Department of Internal Medicine."
gay,umich-bhl-86977,bioghist,"Merriam Family Papers, 1914-1964","He worked for the Berkey and Gay Furniture Company of Grand Rapids from 1922-1930, and for Manufacturers Selling Agency in Los Angeles from 1930-1934, before coming to Baker Furniture, Inc."
gay,umich-bhl-85287,abstract,Michigan Organization for Human Rights Records,"A coalition of state and local human rights organizations, served as resource, lobbying and educational agent for organizations and individuals engaged in struggle to eliminate all forms of discrimination, gay and lesbian rights became an early focus of MOHR."
gay,umich-bhl-85287,bioghist,Michigan Organization for Human Rights Records,"Although civil rights for lesbians and gay men were not to be the sole focus of the organization, the provision of educational materials and legal advice concerning issues surrounding sexual orientation was identified from the outset as a primary goal for the organization."
gay,umich-bhl-85287,bioghist,Michigan Organization for Human Rights Records, The organization met with many successes in its attempts to keep both the public and lawmakers informed about issues of concern to Michigan's lesbian and gay communities.
gay,umich-bhl-85287,bioghist,Michigan Organization for Human Rights Records,"Combined with the founding of new lesbian and gay male social and political organizations in the area's urban centers, this led to a diminution of M.O.H.R.'s political effectiveness and fundraising capabilities."
gay,umich-bhl-85287,bioghist,Michigan Organization for Human Rights Records,"As Detroit's first radio program ""by, for, and about gays and gay liberation,"" the program focused on such topics as coming out, oppression, religion, and gays in film, theater, literature, and music."
gay,umich-bhl-8630,persnames,"James Orin Murfin Papers, 1896-1940","(Thomas Stearns), 1888-1965; Gay, Edwin F."
gay,umich-bhl-2014052,bioghist,"Michael and Janice Neubecker Papers, 1996-2010"," In the 1980s, two of Neubeckers' gay family members and Janice's former teacher fell victims of hate crimes; another gay family member was physically assaulted."
gay,umich-bhl-2014052,bioghist,"Michael and Janice Neubecker Papers, 1996-2010"," In 1995 the Neubeckers started coming to local Parents, Families and Friends of Lesbians and Gays (PFLAG) meetings, the organization for parents, families, friends, and straight allies united with people who are lesbian, gay, bisexual, and transgender."
gay,umich-bhl-2014052,bioghist,"Michael and Janice Neubecker Papers, 1996-2010","Michael Neubecker is member of Gay, Lesbian &amp; Straight Education Network (GLSEN)/Detroit and PFLAG liaison, member of Triangle Foundation Board of Advisors, and American Friends Services Committee non-violent training and dialogues participant."
gay,umich-bhl-2014052,bioghist,"Michael and Janice Neubecker Papers, 1996-2010","A good chunk of his routine is about having an openly gay son, and his humorous message is intended primarily for parents of gay children."
gay,umich-bhl-2014052,subjects,"Michael and Janice Neubecker Papers, 1996-2010",Gay teenagers; Gays; Lesbian teenagers; Lesbians; Parents of gays; Transsexuals
gay,umich-bhl-9951,bioghist,the Lansing Association for Human Rights records,published the first article in Michigan about AIDS and also started the Lansing Lesbian/Gay Hotline as a way of supporting the LGBT community.
gay,umich-bhl-9951,bioghist,the Lansing Association for Human Rights records,"In 1979, after Lansing police raided local bars popular among gay men and made arrests, LAHR compiled a 100-page report that demonstrated how the arrests were "
gay,umich-bhl-9775,scopecontent,"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records",The collection also includes copies of letters asking for advice about coming out or gay friends or relatives.
gay,umich-bhl-9775,abstract,"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records","Also, copies of letters asking for advice about coming out or gay friends or relatives."
gay,umich-bhl-00140,bioghist,"Parents, Families and Friends of Lesbians and Gays, Lansing area chapter records"," The idea for PFLAG was conceived by Jeanne Manford, a fourth-grade teacher in New York City, who in 1972 marched with her gay son in the New York City gay pride parade bearing the sign, ""Parents of Gays: Unite in Support of Our Children."" Manford was inundated with requests from lesbians, gays, and parents to speak with other parents and to participate in panel discussions and interviews throughout the country."
gay,umich-bhl-85287,subjects,Michigan Organization for Human Rights Records,Gay liberation movement; Gay men; Gays; Homosexuality in radio; Homosexuality; Lesbians; Radio broadcasting; Demonstrations; Gay rights.; Homosexuals.; Lesbians.; Parades and processions; Parades and processions; Gayly speaking (Radio program); Gay liberation movement; Homosexuality.; Gays; Lesbians.; Public radio; Radio programs
gay,umich-bhl-2012115,bioghist,"Eugene Ransom and Jeanne Bailey Ransom Papers, 1914-2001"," As a pastor, Eugene and Jeanne were both concerned with social issues, especially peace and justice, racial equality, women's and gay rights."
gay,umich-bhl-2014124,abstract,the Christopher Armstrong papers.,Armstrong was the first openly gay student body president of the Michigan Student Assembly at the University of Michigan.
gay,umich-bhl-2014025,subjects,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014",AIDS activists; Bisexual youth; Bisexuals; Bisexuals; Catholic gays; Gay activists; Gay rights; Gay teenagers; Gay youth; Gays; Gays; Gays; Gays; Gays; Gays; Gays; GLBT community of Michigan.; Homosexuality; Lesbian youth; Lesbians; Lesbians; Lesbians; Parents of gays; Parents of gays; Religion.; Runaway teenagers; Same-sex marriage; Social justice.; Social work with gay youth; Social work with lesbian youth; Social work with transgender youth; Transgender people; Transgender people; Transgender youth; Women in Michigan.; Women's music festivals
gay,umich-bhl-2011124,subjects,"John L. Kavanaugh papers, 1970-2011",Catholics; Episcopalians; Gay liberation movement; Homosexuality; Local transit; Same-sex marriage.; Transportation
gay,umich-bhl-2024013,scopecontent,the Ross Chambers papers.,"Lectures, speeches, and notes are related to his work on AIDS (particularly in relation to gay men), queer and LGBT+ studies, and French."
gay,umich-bhl-2014124,subjects,the Christopher Armstrong papers.,College student government; Cyberbullying.; Gay college students; Gay men; Gay rights; Gay rights; Lawyers; Online hate speech.; Court records.
gay,umich-bhl-2014124,bioghist,the Christopher Armstrong papers.,"In 2010, Armstrong was elected president of the Michigan Student Assembly, making him the first openly gay student body president of the University of Michigan."
gay,umich-bhl-0733,abstract,"Chris Kolb papers, 1997-2006","Kolb's papers include legislative files mainly relating to gay issues, including gay marriage and hate crime legislation."
gay,umich-bhl-0733,scopecontent,"Chris Kolb papers, 1997-2006","Kolb's papers include legislative files mainly relating to gay issues, including gay marriage and hate crime legislation."
gay,umich-bhl-0733,bioghist,"Chris Kolb papers, 1997-2006","He was especially involved in legislative issues relating to gay rights, land use and the environment, and health insurance."
gay,umich-bhl-0733,subjects,"Chris Kolb papers, 1997-2006",Legislators; Gay rights; Same-sex marriage; Hate crimes
gay,umich-bhl-9916,abstract,"Lavender Information and Library Association records, 1989-2008","Organization established in 1989 by University of Michigan librarians and information science professionals and students to promote awareness of lesbian, gay, bisexual and transgender issues within the university libraries and School of Information."
gay,umich-bhl-9916,scopecontent,"Lavender Information and Library Association records, 1989-2008","Documentation details the events and activities of LILA as well as issues and events of general interest to the gay, lesbian, bisexual and transgender community."
gay,umich-bhl-9916,bioghist,"Lavender Information and Library Association records, 1989-2008","The original name of the organization, Gay and Lesbian Library Staff (GALLS) reflected its founding membership."
gay,umich-bhl-9916,bioghist,"Lavender Information and Library Association records, 1989-2008"," The mission of LILA was to promote awareness of lesbian, gay, bisexual and transgender issues within the School of Information, the university libraries and throughout the university."
gay,umich-bhl-2014124,scopecontent,the Christopher Armstrong papers.,"The collection documents the experiences of Christopher Armstrong, the first openly gay student body president of the University of Michigan, during his tenure as an undergraduate student, president of the Michigan Student Assembly (MSA), and the lawsuit he brought against a Michigan’s assistant attorney general, Andrew Shirvell."
gay,umich-bhl-9916,subjects,"Lavender Information and Library Association records, 1989-2008",Gay college students; Gays; Homosexuality; Lesbians; Sexual orientation; Libraries
gay,umich-bhl-02139,scopecontent,Spectrum Center records,"For earlier records of the office, see the Lesbian-Gay Male-Bisexual Programs Office series within the James W."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"Initially heading the office were two individuals, a lesbian advocate Cynthia Gair, also known as Cindi, Cyndy, or Cindy Gair, and a gay male advocate James (Jim) W."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"In 1994, the office ceased having two individuals in charge (one for lesbians and one for gay males) and a single director headed the Program."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"From the beginning, education, peer advising and counseling, gay rights advocacy, and community organization were the primary concerns of the Human Sexuality Office."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"For a time, the office became home to a 24-hour ""Gay Hotline"" operated by members of the Gay Liberation Front (GLF) and funded privately by the GLF and others."
gay,umich-bhl-02139,bioghist,Spectrum Center records,Gay rights advocacy was a core mission of the office.
gay,umich-bhl-02139,bioghist,Spectrum Center records,"Under Simpson, the office celebrated its 40th anniversary in 2011 by holding a series of celebratory events including inviting alumni back to campus and hosting the Midwest Bisexual Lesbian Gay Transgender Ally College Conference (MBLGTACC)."
gay,umich-bhl-02139,subjects,Spectrum Center records,Bisexual college students; Coming out (Sexual orientation); Demonstrations; Gay college students; Gay rights; Gays; Gays; Homosexuality; Lesbians; Lesbians; Sexual orientation; Transgender college students; Interviews.
gay,umich-bhl-02139,corpnames,Spectrum Center records,Lesbian-Gay Male Program Office.; University of Michigan.
gay,umich-bhl-2014124,bioghist,the Christopher Armstrong papers.,"He attended the University of Michigan, where he became involved in Michigan’s gay community."
gay,umich-bhl-2014025,abstract,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","Web collection of websites created by various lesbian, gay, bisexual, and transgender organizations in the State of Michigan, archived by the Bentley Historical Library using the California Digital Library Web Archiving Service crawler from 2010-2015 and the Archive-It web archiving service beginning in 2015."
gay,umich-bhl-2014025,scopecontent,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","The Web Archive of Lesbian, Gay, Bisexual, and Transgender Community of Michigan collection contains archived websites created by various LGBT groups and individuals of the State of Michigan."
gay,umich-bhl-02139,abstract,Spectrum Center records,"Documentation also includes posters; photos of rights marches, gay pride events, and celebration events; audio-visual material; and oral histories."
gay,umich-bhl-963,subjects,"the Parents, Families and Friends of Lesbians and Gays (Detroit, Mich.)",Demonstrations; Demonstrations; Gay rights.; Parents of gays; Parents of gays
gay,umich-bhl-2009149,bioghist,"Kathleen Russell papers, 1997-2006","In the mid-1990s she was a member of the campus group Tri-Pride, which is an organization of social work students and professionals committed to empowering gay, lesbian, bisexual, and transgendered people (GLBT)."
gay,umich-bhl-2009149,subjects,"Kathleen Russell papers, 1997-2006",Gay men; Homophobia; Lesbians; Transgender people
gay,umich-bhl-0092,bioghist,Triangle Foundation Records,"The mission of this organization was to promote the education, awareness and understanding of the lives of gay men and lesbians."
gay,umich-bhl-0092,bioghist,Triangle Foundation Records,"The Foundation's major contribution to this effort is in compiling statistics from incident reports in the state of Michigan and contributing to the annual ""Anti-Lesbian, Gay, Bisexual and Transgender Violence"" report."
gay,umich-bhl-0092,subjects,Triangle Foundation Records,Gay rights; Gays; Lesbians; Hate crimes; Lesbians; Lesbians; Religion and politics.; Violence; Legislation; Gay liberation movement; Gay rights; Gay activists.; Gays
gay,umich-bhl-2012158,bioghist,the Tim Retzloff oral history interviews,"In the course of his research on the gay community of Detroit and its suburbs since WWII, he has conducted numerous oral histories with key figures in the community."
